District, Size, Democrats, Republicans, Lean
1, 2000, 994, 1006, R +0.6,
2, 2000, 1131, 869, D +13.1,
3, 2000, 1184, 816, D +18.4,
4, 2000, 1142, 858, D +14.2,
5, 2000, 1035, 965, D +3.5,
6, 2000, 1058, 942, D +5.8,
7, 2000, 1203, 797, D +20.3,
8, 2000, 987, 1013, R +1.3,
9, 2000, 1272, 728, D +27.2,
10, 2000, 1111, 889, D +11.1,
11, 2000, 1116, 884, D +11.6,
12, 2000, 1077, 923, D +7.7,
13, 2000, 1119, 881, D +11.9,
14, 2000, 961, 1039, R +3.9,
15, 2000, 1010, 990, D +1,
16, 2000, 1093, 907, D +9.3,
17, 2000, 1312, 688, D +31.2,
18, 2000, 1064, 936, D +6.4,
19, 2000, 873, 1127, R +12.7,
20, 2000, 876, 1124, R +12.4,
