District, Size, Democrats, Republicans, Lean
1, 2500, 1138, 1362, R +8.96
2, 2500, 1562, 938, D +24.96
3, 2500, 1455, 1045, D +16.4
4, 2500, 1564, 936, D +25.12
5, 2500, 1559, 941, D +24.72
6, 2500, 1374, 1126, D +9.92
7, 2500, 1271, 1229, D +1.68
8, 2500, 1424, 1076, D +13.92
9, 2500, 1452, 1048, D +16.16
10, 2500, 1339, 1161, D +7.12
11, 2500, 1354, 1146, D +8.32
12, 2500, 1285, 1215, D +2.8
13, 2500, 1405, 1095, D +12.4
14, 2500, 1181, 1319, R +5.52
15, 2500, 1303, 1197, D +4.24
16, 2500, 1269, 1231, D +1.52
17, 2500, 1242, 1258, R +0.64
18, 2500, 1291, 1209, D +3.28
19, 2500, 1445, 1055, D +15.6
20, 2500, 1410, 1090, D +12.8
