District, Size, Democrats, Republicans, Lean
1, 2500, 1376, 1124, D +10.08
2, 2500, 1383, 1117, D +10.64
3, 2500, 1371, 1129, D +9.68
4, 2500, 1353, 1147, D +8.24
5, 2500, 1356, 1144, D +8.48
6, 2500, 1337, 1163, D +6.96
7, 2500, 1368, 1132, D +9.44
8, 2500, 1289, 1211, D +3.12
9, 2500, 1399, 1101, D +11.92
10, 2500, 1369, 1131, D +9.52
11, 2500, 1346, 1154, D +7.68
12, 2500, 1337, 1163, D +6.96
13, 2500, 1413, 1087, D +13.04
14, 2500, 1359, 1141, D +8.72
15, 2500, 1319, 1181, D +5.52
16, 2500, 1363, 1137, D +9.04
17, 2500, 1324, 1176, D +5.92
18, 2500, 1331, 1169, D +6.48
19, 2500, 1337, 1163, D +6.96
20, 2500, 1355, 1145, D +8.4
