District, Size, Democrats, Republicans, Lean
1, 2500, 1399, 1101, D +11.92
2, 2500, 1353, 1147, D +8.24
3, 2500, 1381, 1119, D +10.48
4, 2500, 1339, 1161, D +7.12
5, 2500, 1366, 1134, D +9.28
6, 2500, 1332, 1168, D +6.56
7, 2500, 1353, 1147, D +8.24
8, 2500, 1354, 1146, D +8.32
9, 2500, 1318, 1182, D +5.44
10, 2500, 1358, 1142, D +8.64
11, 2500, 1377, 1123, D +10.16
12, 2500, 1369, 1131, D +9.52
13, 2500, 1334, 1166, D +6.72
14, 2500, 1412, 1088, D +12.96
15, 2500, 1352, 1148, D +8.16
16, 2500, 1300, 1200, D +4
17, 2500, 1332, 1168, D +6.56
18, 2500, 1394, 1106, D +11.52
19, 2500, 1373, 1127, D +9.84
20, 2500, 1357, 1143, D +8.56
