District, Size, Democrats, Republicans, Lean
1, 2500, 1646, 854, D +31.68
2, 2500, 1424, 1076, D +13.92
3, 2500, 1548, 952, D +23.84
4, 2500, 1513, 987, D +21.04
5, 2500, 1450, 1050, D +16
6, 2500, 1374, 1126, D +9.92
7, 2500, 1244, 1256, R +0.48
8, 2500, 1308, 1192, D +4.64
9, 2500, 1434, 1066, D +14.72
10, 2500, 1235, 1265, R +1.2
11, 2500, 1363, 1137, D +9.04
12, 2500, 1385, 1115, D +10.8
13, 2500, 1236, 1264, R +1.12
14, 2500, 1362, 1138, D +8.96
15, 2500, 1243, 1257, R +0.56
16, 2500, 1174, 1326, R +6.08
17, 2500, 1284, 1216, D +2.72
18, 2500, 1224, 1276, R +2.08
19, 2500, 1247, 1253, R +0.24
20, 2500, 1391, 1109, D +11.28
